"id","boost","city_id","classify","column_id","create_time","focus_img","level","origin","pub_time","sens","similarity_label","site_classify","site_id","source","title","url","province","date","nature","score","seq","word"
"108809","3","210","时事","34845","30/9/2020 10:15:21",,"2","安溪新闻网","29/9/2020 10:31:08","99","0","11","451","安溪报","我县举行2020年县直机关特色党建项目比赛","http://www.anxinews.com/content/2020-09/29/content_6092856.htm","13",,,"0","0",
"108810","4","210","体育","34847","30/9/2020 10:15:22",,"2","安溪新闻网","29/9/2020 10:13:46","95","0","11","451","安溪报","县文化馆举办2020年安溪县青少年“战弈杯”围棋比赛","http://www.anxinews.com/content/2020-09/29/content_6092838.htm","13",,,"0","0",
"108811","4","0","时事","34844","30/9/2020 10:15:22",,"0","中共中央党校","30/9/2020 10:15:20","91","0","3","1059","中央党校","第61期安全发展与应急管理论坛——《民法典》与应急管理","http://www.ccps.gov.cn/xwpd/jyky/202009/t20200929_143678.shtml","0",,,"0","0",
"108812","4","0","时事","34844","30/9/2020 10:15:22",,"0","中共中央党校","30/9/2020 10:15:20","99","0","3","1059","学习时报","学深悟透讲好《习近平谈治国理政》第三卷","http://www.ccps.gov.cn/xwpd/jyky/202009/t20200927_143640.shtml","0",,,"0","0",
"108813","4","210","社会","34846","30/9/2020 10:15:22",,"2","安溪新闻网","29/9/2020 10:23:54","96","0","11","451","安溪报","湖上乡、白濑乡联合开展2020年第三季度村主干拉练活动","http://www.anxinews.com/content/2020-09/29/content_6092846.htm","13",,,"0","0",
"108814","4","0","文化","34848","30/9/2020 10:15:22",,"0","中共中央党校","30/9/2020 10:15:18","100","0","3","1059","中央党校","一片甲骨惊天下","http://www.ccps.gov.cn/xwpd/xypx/202001/t20200103_137286.shtml","0",,,"0","0",
"108815","4","210","社会","34847","30/9/2020 10:15:22",,"2","安溪新闻网","29/9/2020 10:13:49","94","0","11","451","安溪报","凤城镇南街社区居委会举办庆祝国庆欢度中秋灯猜活动","http://www.anxinews.com/content/2020-09/29/content_6092837.htm","13",,,"0","0",
"108816","4","0","时事","34848","30/9/2020 10:15:23",,"0","中共中央党校","30/9/2020 10:15:18","99","0","3","1059","中央党校","韩文秀应邀为中央党校（国家行政学院）进修一部全体学员","http://www.ccps.gov.cn/xwpd/xypx/201912/t20191230_137177.shtml","0",,,"0","0",
"108817","4","0","教育","34844","30/9/2020 10:15:23",,"0","中共中央党校","30/9/2020 10:15:21","100","0","3","1059","中央党校","谢春涛副校（院）长出席研究生院2020级新生见面会","http://www.ccps.gov.cn/xwpd/jyky/202009/t20200921_143503.shtml","0",,,"0","0",
"108818","4","0","时事","34848","30/9/2020 10:15:23",,"0","中共中央党校","30/9/2020 10:15:19","99","0","3","1059","中央党校","不忘初心 方得始终","http://www.ccps.gov.cn/xwpd/xypx/201912/t20191230_137171.shtml","0",,,"0","0",
"108819","3","210","时事","34845","30/9/2020 10:15:23",,"2","安溪新闻网","29/9/2020 10:31:11","64","0","11","451","安溪报","做好两节期间疫情防控工作","http://www.anxinews.com/content/2020-09/29/content_6092855.htm","13",,,"0","0",
"108820","4","0","时事","34848","30/9/2020 10:15:24",,"0","中共中央党校","30/9/2020 10:15:19","100","0","3","1059","中央党校","中央党校（国家行政学院）进修一部“大有读书荟”邀请何建明主讲","http://www.ccps.gov.cn/xwpd/xypx/201912/t20191226_137101.shtml","0",,,"0","0",
"108821","4","210","社会","34846","30/9/2020 10:15:24",,"2","安溪新闻网","29/9/2020 10:23:57","100","0","11","451","安溪报","专利补助最高奖励10万元","http://www.anxinews.com/content/2020-09/29/content_6092845.htm","13",,,"0","0",
"108822","4","0","文化","34848","30/9/2020 10:15:24",,"0","中共中央党校","30/9/2020 10:15:19","100","0","3","1059","中央党校","海派芭蕾 精彩巨献","http://www.ccps.gov.cn/xwpd/xypx/201912/t20191220_137000.shtml","0",,,"0","0",
"108823","4","0","综合","34844","30/9/2020 10:15:24",,"0","中共中央党校","30/9/2020 10:15:21","99","0","3","1059","学习时报","以更大担当作为勇挑时代重任","http://www.ccps.gov.cn/xwpd/jyky/202009/t20200911_143331.shtml","0",,,"0","0",
"108824","4","210","健康养生","34847","30/9/2020 10:15:24",,"2","安溪新闻网","29/9/2020 10:13:52","99","0","11","451","安溪报","县医院卒中中心入围全国500强","http://www.anxinews.com/content/2020-09/29/content_6092836.htm","13",,,"0","0",
"108825","4","210","时事","34846","30/9/2020 10:15:24",,"2","安溪新闻网","29/9/2020 10:23:59","99","0","11","451","安溪报","医保信息将实现互联互通","http://www.anxinews.com/content/2020-09/29/content_6092844.htm","13",,,"0","0",
"108826","3","210","时事","34845","30/9/2020 10:15:24",,"2","安溪新闻网","29/9/2020 10:31:13","96","0","11","451","安溪报","全力稳外贸稳外资促消费","http://www.anxinews.com/content/2020-09/29/content_6092854.htm","13",,,"0","0",
"108827","4","0","时事","34844","30/9/2020 10:15:25",,"0","中共中央党校","30/9/2020 10:15:22","98","0","3","1059","中央党校","教务部召开2020年秋季学期教学相关部门负责人会议","http://www.ccps.gov.cn/xwpd/jyky/202009/t20200908_143251.shtml","0",,,"0","0",
"108828","3","210","时事","34845","30/9/2020 10:15:25",,"2","安溪新闻网","29/9/2020 10:31:17","24","0","11","451","安溪报","县政府召开第49次常务会","http://www.anxinews.com/content/2020-09/29/content_6092853.htm","13",,,"0","0",
